region,referenzort,jan,feb,maer,apr,mai,jun,jul,aug,sep,okt,nov,dez,jahreswert
1,Bremerhaven,2.9,3.2,5.4,9,13.1,16,17.9,18.2,15,10.6,6.1,3.2,10.1
2,Rostock,2.3,2.4,4.3,8,12.4,15.6,18,18,14.7,10.2,5.5,2.6,9.5
3,Hamburg,2.5,2.7,4.9,8.5,12.8,15.5,17.8,17.8,14.1,9.8,5.1,2.3,9.5
4,Potsdam,1,1.9,4.7,9.2,14.1,16.7,19,18.6,14.3,9.5,4.1,0.9,9.5
5,Essen,3.1,3.5,6.6,9.5,13.7,15.9,18.2,18.2,14.6,10.8,6.1,3.5,10.4
6,Bad Marienberg,0.1,0.5,3.6,7,11.5,14,16.1,16,12.3,8.1,3.2,0.6,7.8
7,Kassel,1,2.1,5.2,8.8,13.3,15.9,18.1,17.8,13.7,9.5,4.5,1.7,9.3
8,Braunlage,-0.8,-0.3,2.1,5.7,10.5,12.9,15,15,11.1,7.1,2.3,-0.2,6.7
9,Chemnitz,0.5,1,3.9,8.2,12.9,15.5,17.5,17.6,13.2,9.2,3.8,0.8,8.7
10,Hof,-1.2,-0.4,2.8,6.6,11.7,14.5,16.3,16.6,12,7.6,2.3,-0.7,7.4
11,Fichtelberg,-3.3,-3.5,-1.3,2.3,7.4,9.8,12.2,12.4,8.1,4.4,-0.6,-2.8,3.8
12,Mannheim,2.4,3.6,7.1,10.6,15.6,18.1,20.1,20.2,15.7,11,5.7,3.1,11.1
13,Passau,-1.2,0.4,4.3,8.2,13.7,16.4,18,17.8,13.1,8.7,3,-0.2,8.6
14,Sțtten,-0.5,0.3,3.4,6.8,11.8,14.4,16.6,16.7,12.3,8.5,2.6,-0.2,7.8
15,Garmisch-Partenkirchen,-2.3,-0.5,3.2,7,11.8,14.8,16.6,16.4,12.3,8.4,1.9,-1.8,7.4
