region,referenzort,orientation,neigung,jan,feb,maerz,apr,mai,jun,jul,aug,sep,okt,nov,dez,jahreswert
11,Fichtelberg,horizontal,0,32,64,107,147,201,183,197,185,105,70,31,22,983
11,Fichtelberg,Süd,30,52,90,136,160,206,179,194,199,118,94,40,32,1099
11,Fichtelberg,Süd,45,59,96,142,156,194,165,180,191,118,99,42,35,1080
11,Fichtelberg,Süd,60,63,98,140,145,173,145,159,174,112,98,42,36,1013
11,Fichtelberg,Süd,90,60,87,115,106,114,95,106,120,86,83,36,33,760
11,Fichtelberg,Süd-Ost,30,49,86,130,162,206,179,201,199,118,84,36,30,1082
11,Fichtelberg,Süd-Ost,45,55,92,133,158,196,166,191,193,117,85,36,31,1062
11,Fichtelberg,Süd-Ost,60,57,92,129,148,179,148,174,179,111,82,35,32,999
11,Fichtelberg,Süd-Ost,90,54,80,105,113,128,103,127,133,87,66,28,28,770
11,Fichtelberg,Süd-West,30,42,76,122,147,198,174,184,186,109,88,38,28,1018
11,Fichtelberg,Süd-West,45,44,77,121,140,185,161,169,177,105,91,39,28,1049
11,Fichtelberg,Süd-West,60,44,75,117,127,167,142,151,162,97,89,38,28,905
11,Fichtelberg,Süd-West,90,39,61,92,119,119,98,107,117,73,73,32,24,678
11,Fichtelberg,Ost,30,35,67,105,148,194,172,198,182,105,65,29,22,967
11,Fichtelberg,Ost,45,35,66,101,141,182,158,188,173,100,61,26,21,916
11,Fichtelberg,Ost,60,34,63,94,130,166,141,174,160,92,56,23,20,844
11,Fichtelberg,Ost,90,29,52,75,100,127,102,134,124,72,43,17,16,651
11,Fichtelberg,West,30,28,55,95,128,181,166,172,165,93,70,31,20,882
11,Fichtelberg,West,45,26,51,89,116,167,150,156,151,86,67,29,19,810
11,Fichtelberg,West,60,23,46,81,103,150,133,139,136,77,62,27,17,728
11,Fichtelberg,West,90,18,35,62,76,112,95,102,103,58,48,20,13,543
11,Fichtelberg,Nord-West,30,19,39,69,111,162,156,162,140,78,49,23,16,750
11,Fichtelberg,Nord-West,45,17,32,57,93,137,134,139,117,66,41,21,14,637
11,Fichtelberg,Nord-West,60,16,29,49,79,116,114,120,100,57,36,18,12,547
11,Fichtelberg,Nord-West,90,12,23,38,58,85,81,87,74,43,28,13,9,405
11,Fichtelberg,Nord-Ost,30,21,44,76,125,172,161,183,154,86,47,23,16,810
11,Fichtelberg,Nord-Ost,45,18,38,64,110,149,141,166,134,75,39,20,14,710
11,Fichtelberg,Nord-Ost,60,17,34,56,96,130,121,148,116,66,34,18,13,621
11,Fichtelberg,Nord-Ost,90,13,27,43,72,97,86,111,88,50,26,13,9,466
11,Fichtelberg,Nord,30,18,32,56,108,159,154,168,136,73,36,21,15,716
11,Fichtelberg,Nord,45,17,29,43,84,127,131,143,103,56,32,19,14,584
11,Fichtelberg,Nord,60,15,26,39,69,93,104,115,75,49,29,17,12,471
11,Fichtelberg,Nord,90,12,22,32,53,68,72,82,57,38,23,13,9,352
